#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
Y2|GARY|31.726801|80.337402|4455.0|Garyersa, Tibet|2007-06-24T00:00:00|2011-05-12T23:59:59
Y2|GUGE|31.4769|79.664101|3676.0|Zaparang, Tibet|2007-06-23T00:00:00|2011-05-12T23:59:59
Y2|MONS|31.190201|80.749199|4438.0|Monser, Tibet|2007-06-22T00:00:00|2011-05-11T23:59:59
Y2|NOMA|32.442402|83.161903|4551.0|Oma, Tibet|2007-07-01T00:00:00|2011-05-15T23:59:59
Y2|NPUK|32.3904|81.157402|4575.0|Napuk, Tibet|2007-06-29T00:00:00|2011-05-13T23:59:59
Y2|PURG|30.198799|81.275299|3818.0|Purang, Tibet|2007-06-21T00:00:00|2011-05-09T23:59:59
Y2|RUTK|33.368999|79.693298|4269.0|Rutok, Tibet|2007-06-27T00:00:00|2011-05-13T23:59:59
Y2|SQAH|32.52|80.106903|4459.0|Shiquanhe, Tibet|2007-06-25T00:00:00|2011-01-18T23:59:59
Y2|WT01|32.042702|81.925598|4600.0|Zhungba1, Tibet|2009-09-03T00:00:00|2011-04-21T23:59:59
Y2|WT02|30.759701|81.364998|4693.0|Jiwu, Tibet|2009-08-16T00:00:00|2011-05-08T23:59:59
Y2|WT03|31.496099|82.335197|4829.0|Yarla, Tibet|2009-09-04T00:00:00|2011-05-15T23:59:59
Y2|WT04|30.453899|81.116203|4123.0|Rengon, Tibet|2009-08-17T00:00:00|2011-05-09T23:59:59
Y2|WT05|31.8594|82.158997|4728.0|Temple, Tibet|2009-09-05T00:00:00|2011-05-15T23:59:59
Y2|WT06|32.226398|82.261299|4443.0|Salt-lake, Tibet|2009-09-06T00:00:00|2011-05-14T23:59:59
Y2|WT07|31.5135|80.4431|4807.0|Bahr, Tibet|2009-08-26T00:00:00|2011-05-12T23:59:59
Y2|WT08|31.356199|80.544502|4807.0|Montser, Tibet|2009-08-25T00:00:00|2011-05-10T23:59:59
Y2|WT09|32.367699|83.580498|4458.0|Oma2, Tibet|2009-09-07T00:00:00|2011-05-15T23:59:59
Y2|WT11|32.224201|81.356697|4848.0|Nupak, Tibet|2009-09-01T00:00:00|2010-05-02T23:59:59
Y2|WT12|32.461102|80.8218|4579.0|Zhozho1, Tibet|2009-08-31T00:00:00|2011-05-13T23:59:59
Y2|WT13|31.9238|80.132599|4406.0|Xinkar, Tibet|2009-08-28T00:00:00|2011-05-11T23:59:59
Y2|WT14|32.3027|79.9907|4526.0|Marchen, Tibet|2009-08-27T00:00:00|2011-05-12T23:59:59
Y2|WT15|32.364201|80.441299|4622.0|Zhozho2, Tibet|2009-08-30T00:00:00|2011-05-13T23:59:59
Y2|WT16|32.7155|79.8489|4909.0|Hill, Tibet|2009-08-29T00:00:00|2011-05-12T23:59:59
Y2|WT17|32.591301|81.301498|4894.0|N-Napuk, Tibet|2009-09-02T00:00:00|2011-05-15T23:59:59
Y2|WT18|30.8552|81.426102|4619.0|Barkar, Tibet|2009-08-19T00:00:00|2011-05-08T23:59:59
Y2|WT19|30.989401|81.0709|4678.0|Guoban, Tibet|2009-08-20T00:00:00|2010-08-22T23:59:59
Y2|WT20|31.275101|81.871902|5294.0|Yarla, Tibet|2009-08-21T00:00:00|2011-05-16T23:59:59
Y2|WT21|32.367401|83.579903|5419.0|Oma county|2009-08-22T00:00:00|2011-05-12T23:59:59
Y2|ZMBA|32.3727|82.892601|4464.0|Wenbu, Tibet|2009-09-06T00:00:00|2010-01-19T23:59:59
