#Station Latitude Longitude Elevation
GARY 31.726801 80.337402 4.455
GUGE 31.4769 79.664101 3.676
MONS 31.190201 80.749199 4.438
NOCO 33.719398 80.389801 4.562
NOMA 32.442402 83.161903 4.551
NPUK 32.3904 81.157402 4.575
PURG 30.198799 81.275299 3.818
RUTK 33.368999 79.693298 4.269
SQAH 32.52 80.106903 4.459
WT01 32.042702 81.925598 4.6
WT02 30.759701 81.364998 4.693
WT03 31.496099 82.335197 4.829
WT04 30.453899 81.116203 4.123
WT05 31.8594 82.158997 4.728
WT06 32.226398 82.261299 4.443
WT07 31.5135 80.4431 4.807
WT08 31.356199 80.544502 4.807
WT09 32.367699 83.580498 4.458
WT11 32.224201 81.356697 4.848
WT12 32.461102 80.8218 4.579
WT13 31.9238 80.132599 4.406
WT14 32.3027 79.9907 4.526
WT15 32.364201 80.441299 4.622
WT16 32.7155 79.8489 4.909
WT17 32.591301 81.301498 4.894
WT18 30.8552 81.426102 4.619
WT19 30.989401 81.0709 4.678
WT20 31.275101 81.871902 5.294
WT21 32.367401 83.579903 5.419
ZMBA 32.3727 82.892601 4.464
ZNBA 32.040901 81.915802 4.613
